,Inhibitory neurons,Granule neurons,ENS neurons,Smooth muscle cells,Vascular endothelial cells,Stromal cells,Ciliated epithelial cells,Bronchiolar and alveolar epithelial cells,STC2_TLX1 positive cells,Syncytiotrophoblasts and villous cytotrophoblasts,Excitatory neurons,Erythroblasts
TFORF0079-KCNIP3,0.15789473684210525,0.0,0.0,0.10526315789473684,0.0,0.0,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.05263157894736842,0.0,0.21052631578947367
TFORF2779-BATF,0.0,0.0,0.09090909090909091,0.18181818181818182,0.0,0.0,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.0,0.0,0.2727272727272727
TFORF0515-PAX5,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.38461538461538464,0.07692307692307693,0.07692307692307693,0.0,0.0,0.38461538461538464
TFORF2106-ZBTB37,0.07142857142857142,0.0,0.0,0.21428571428571427,0.0,0.14285714285714285,0.21428571428571427,0.14285714285714285,0.0,0.0,0.0,0.21428571428571427
TFORF0541-GCFC2,0.26666666666666666,0.0,0.06666666666666667,0.06666666666666667,0.0,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.0,0.26666666666666666
TFORF0429-PBX1,0.15384615384615385,0.0,0.0,0.23076923076923078,0.0,0.0,0.07692307692307693,0.15384615384615385,0.0,0.0,0.0,0.38461538461538464
TFORF2512-PDCD2,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,0.0,0.11764705882352941,0.058823529411764705,0.23529411764705882,0.11764705882352941,0.058823529411764705,0.0,0.23529411764705882
TFORF0417-SULT2A1,0.35714285714285715,0.0,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,0.21428571428571427,0.14285714285714285,0.0,0.0,0.14285714285714285
TFORF2359-ZNF644,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.13333333333333333,0.2,0.2,0.13333333333333333,0.0,0.0,0.2
TFORF2120-HOPX,0.2727272727272727,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.45454545454545453
TFORF1794-CNBP,0.15384615384615385,0.0,0.07692307692307693,0.0,0.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.0,0.0,0.23076923076923078
TFORF2277-PRDM2,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.0,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.2727272727272727
