,TF,batch,louvain,n_counts,n_genes,percent_mito,dpt_pseudotime,discrete_time,split,cell_type,Cluster Enriched TFs_colors,highlight_celltype,Depth_from_root,Cluster Enriched TFs,velocity_self_transition,condition,condition_counts,clusters_gradients,terminal_states,terminal_states_probs,member_12-1_absorption,member_11-1_absorption,member_11-0_absorption,member_7-1_absorption,member_12-0_absorption,member_10_absorption,member_5_absorption,member_15_absorption,member_14_absorption
"R1.11,R2.89,R3.76,P1.16-3-3-0",TFORF0783-SEBOX,0,2,3344.0,2268,0.02332536,0.03236126,0.03236126,train,Squamous epithelial cells,others,squamous epithelial,7.0,others,0.0,TFORF0783-SEBOX,33,15,,0.6393230511617838,0.06141331627304245,0.0843129065788604,0.10399319942336854,0.07732504123163951,0.1008585312252664,0.14999898454424948,0.1330038146741412,0.15689091313019618,0.13220339957112498
"R1.26,R2.06,R3.22,P1.46-0-0",TFORF0783-SEBOX,0,8-0,1688.0,1341,0.035545025,0.046343125,0.046343125,train,Erythroblasts,others,others,6.0,others,0.0,TFORF0783-SEBOX,33,15,,0.6055845752150097,0.06149637873635173,0.08442225244103868,0.10411133339139335,0.076815276802754,0.1008190059815604,0.14817900889990704,0.13325509976127653,0.15504481468132592,0.13585699751593483
"R1.28,R2.36,R3.52,P1.24-0-4-0",TFORF0783-SEBOX,0,2,2697.0,1820,0.0252132,0.05163529,0.05163529,train,Intestinal epithelial cells,others,intestinal epithelial,23.0,others,0.0,TFORF0783-SEBOX,33,15,,0.6590329340188213,0.06132791565063489,0.08422188845262656,0.10392606281705262,0.07699071613060617,0.10067449026964978,0.14967234945490576,0.13267179193538642,0.15595141411082278,0.13456312888428082
"R1.57,R2.75,R3.05,P1.63-1-3-0",TFORF0783-SEBOX,0,8-0,7806.0,4070,0.022802971,0.046405602,0.046405602,train,STC2_TLX1 positive cells,others,others,6.0,others,0.0,TFORF0783-SEBOX,33,15,,0.6172694001169337,0.06150796759546824,0.08455708446315979,0.10404885507601373,0.0768100468084924,0.1008457725656964,0.1482391502256073,0.13305710088129508,0.1552103664078543,0.1357235815586934
"R1.56,R2.85,R3.16,P1.46-0-0",TFORF0783-SEBOX,0,11-0,3799.0,2480,0.021058174,0.103370935,0.103370935,test,Smooth muscle cells,others,smooth muscle,9.0,others,0.0,TFORF0783-SEBOX,33,15,,0.35021828349616213,0.0552804541476293,0.08255056143885334,0.264240132995093,0.06616169606448222,0.10527236602667885,0.10989550518846113,0.10438176225318721,0.11970709976691278,0.09251057833355832
"R1.36,R2.40,R3.53,P1.40-2-4-0",TFORF0783-SEBOX,0,14,5454.0,3286,0.021818848,0.08132751,0.08132751,train,Squamous epithelial cells,others,squamous epithelial,11.0,others,0.0,TFORF0783-SEBOX,33,14,,0.687893897054942,0.05485986382434785,0.07492277980812223,0.09312029686552092,0.06797159295533826,0.09004280960419517,0.1310458903804081,0.11792313589562682,0.13686180359038078,0.23325257267733232
"R1.87,R2.16,R3.07,P1.24-0-4-0",TFORF0783-SEBOX,0,16,3687.0,2416,0.02034174,0.041933842,0.041933842,train,Erythroblasts,others,others,9.0,others,0.0,TFORF0783-SEBOX,33,15,,0.745754786480926,0.06116200199069997,0.08505231427874449,0.10452455268568575,0.07812262192865907,0.10076324853890073,0.14933908838649212,0.13230575290089144,0.15963468479740245,0.12909606420177908
"R1.52,R2.36,R3.90,P1.40-2-4-0",TFORF0783-SEBOX,0,0,3269.0,2295,0.025695931,0.050176315,0.050176315,train,Squamous epithelial cells,others,squamous epithelial,10.0,others,0.0,TFORF0783-SEBOX,33,15,,0.5546007720218252,0.06131859139890276,0.08394222993163104,0.10386451880649974,0.07639829189403168,0.10057220422390249,0.1472210685038596,0.13240106590122702,0.15391908270554167,0.14036346000141117
"R1.52,R2.17,R3.69,P1.63-1-3-0",TFORF0783-SEBOX,0,3,7284.0,3826,0.019906644,0.1015622,0.1015622,train,Intestinal epithelial cells,others,intestinal epithelial,9.0,others,0.0,TFORF0783-SEBOX,33,14,,0.727372864895176,0.060762503679631555,0.08308383158275039,0.10315896291779451,0.07548901228630225,0.09981688714356803,0.14629082670564048,0.13075799815863892,0.152265482488441,0.1483756461416858
"R1.40,R2.96,R3.78,P1.62-1-1-0",TFORF0783-SEBOX,0,5,4284.0,2777,0.02124183,0.08605738,0.08605738,train,Squamous epithelial cells,others,squamous epithelial,8.0,others,0.0,TFORF0783-SEBOX,33,5,,0.43897318224844634,0.05901221369869411,0.08170933132250002,0.09851606349323973,0.07393687080423332,0.09640678818425322,0.13790470178218645,0.18616995822644072,0.1470359142806019,0.11930914974925344
"R1.89,R2.20,R3.21,P1.15-3-1-0",TFORF0783-SEBOX,0,8-0,2914.0,2025,0.023678793,0.04898101,0.04898101,train,Inhibitory neurons,others,others,11.0,others,0.0,TFORF0783-SEBOX,33,15,,0.5899030608502003,0.061278002000629765,0.08399290511719797,0.10380215060805714,0.07659259892860763,0.10054867235305608,0.14901849203054776,0.13236855641534676,0.15475291737587904,0.137645962015885
