,Pearson_r
ADARB1,0.8672237624634176
ADARB2,0.7016367225785367
ADCY10,0.8767298322016055
ADCY8,0.8487213836520053
ADD2,0.7885295869216198
ADD3,0.8640953179770217
ADD3-AS1,0.8831457310782358
ADGB,0.8535637820721812
ADGRA2,0.8750520324403482
ADGRA3,0.8586643701686381
ADGRB3,0.8794077617850253
ADGRG1,0.907115593363506
ADGRG6,0.8678553982291418
ADGRL3-AS1,0.8891768513452134
ADGRL4,0.7776633985842882
ADH6,0.8768144008910072
ADORA2A-AS1,0.8714339521873182
ADRA2B,0.9506447882908744
ADTRP,0.8974777864607337
AFAP1,0.8516619276904435
AFAP1-AS1,0.8344194388112112
AFF2,0.7310532812593009
AFF3,0.8062748285997596
AGBL1,0.8451691486271109
AGBL2,0.8682757294564961
AGBL4,0.8715449924925677
AGL,0.8620146607868931
AGMO,0.8642545381770121
AGPAT4,0.8689794718148245
AHNAK,0.8442521153158699
AHRR,0.8625490559601929
AIG1,0.8086896950784084
AIRE,0.7491822927684771
AJAP1,0.8534888120129128
AK8,0.8875432562695575
AKAP6,0.8607355727616011
AKR1C1,0.8881742962563289
AKR1C3,0.9266408289045265
AKR1D1,0.7062095038538433
AKR7A3,0.8952379958952794
ALCAM,0.82190791274887
ALDH1A1,0.8731407748260073
ALDH1A2,0.8515079163765197
ALDH5A1,0.87484247623134
ALDOA,0.8601316108757979
ALG13,0.8661464596677619
ALK,0.8816858482008832
ALKBH3,0.864599410055338
ALKBH6,0.8976605513072647
ALOX12,0.9082579609658218
ALOX5,0.8892807951637806
ALPK1,0.8489288104419029
ALPK2,0.7521296307360403
ALPL,0.7520478276114128
ALS2,0.881156975670491
ALX1,0.8656229488026143
AMER2,0.8422248091931015
AMOT,0.8581426934868869
AMOTL1,0.8570900238591123
AMOTL2,0.8655482411755666
AMY2B,0.8873769515871395
ANAPC10,0.872760018125941
ANAPC1P1,0.91499289441913
ANGPT1,0.8952012038149734
ANGPT2,0.8186387403899034
ANGPT4,0.8796619425463872
ANGPTL4,0.8945801591859197
ANGPTL7,0.8874935898721257
ANKDD1A,0.8696544342646989
ANKDD1B,0.8156782270504277
ANKFN1,0.8332934024010104
ANKLE1,0.8671092324067567
ANKRD1,0.8263949883857074
ANKRD26,0.8697497593047097
ANKRD28,0.8718505177055992
ANKRD34B,0.8498715073765507
ANKRD36,0.8630796115403975
ANKRD36BP2,0.9015330929865601
ANKRD44,0.8540324788728282
ANKRD45,0.8585039910743683
ANKRD55,0.8648052976114126
ANKRD6,0.8508095456800414
ANKRD61,0.8824349334415683
ANKRD65,0.8024362618484411
ANKS1B,0.8752749984906548
ANO2,0.8811440700909627
ANO3,0.8867195106933043
ANO4,0.878131477893868
ANO5,0.8755038058842283
ANOS1,0.8797044566568061
ANP32B,0.863517861101845
ANPEP,0.8281625207087959
ANTXR2,0.8602304294706752
ANXA1,0.8204679828647427
ANXA2,0.7929795569157798
ANXA3,0.867628445072577
ANXA4,0.5503936751336508
ANXA5,0.7791088284653439
AOAH,0.8836152477921846
AP2M1,0.8676924234827713
AP5S1,0.9297484049034395
APBA1,0.887899496292983
APBB1IP,0.965035572592774
APCDD1,0.9005076046124649
APEX1,0.7103156339772636
APLNR,0.8234695023778471
APOA1-AS,0.8631084415994009
APOB,0.8728075276689194
APOLD1,0.9058995824392244
AQP4-AS1,0.8645255266518769
AR,0.6942311145406969
ARAP2,0.9055197566850258
ARHGAP10,0.8768207364870848
ARHGAP18,0.8730061144177554
ARHGAP20,0.7887804093428377
ARHGAP21,0.867877758138621
ARHGAP24,0.8364972016179122
ARHGAP26,0.8644678412506294
ARHGAP28,0.5705323663050437
ARHGAP29,0.8609384140375022
ARHGAP30,0.7760853122060457
ARHGAP40,0.7671459744032302
ARHGAP44,0.8709068070572432
ARHGAP6,0.8582188186382776
ARHGEF12,0.8672696619423904
ARHGEF15,0.8147509615072761
ARHGEF28,0.86459344819144
ARHGEF33,0.2457568574182919
ARHGEF38,0.8627809185505373
ARHGEF4,0.84922370873075
ARID3A,0.6445541506225744
ARID5A,0.8725986205291211
ARID5B,0.8851897503052638
ARL3,0.8767193654788971
ARL6,0.8735911673177127
ARL9,0.9081532994220809
ARMC3,0.8781411606131829
ARMT1,0.8798007660197789
ARNTL2-AS1,0.861192244292861
ARPP21,0.7962242367104432
ARR3,0.9274807591117346
ARRB1,0.8560777070330017
ARRDC5,0.860004933824179
ARSD,0.8852447085095928
ARSJ,0.8715119298677316
ART4,0.8855831009181551
ASAH2B,0.9097280186136104
ASAP1-IT1,0.8806731586033094
ASAP2,0.8712568126255827
ASB18,0.8934306436986431
ASGR1,0.8784157979073467
ASIC1,0.8757464504561351
ASIC2,0.8641044766027824
ASPH,0.8768334566629227
ASTN1,0.8748896198471672
ASTN2-AS1,0.8576622500508547
ASXL3,0.8657285795098062
ATAD2,0.8742651598773642
ATE1-AS1,0.8923475203776284
ATF3,0.8880522066828358
ATF6B,0.8934993632407747
ATF7IP2,0.8743924786928601
ATG10,0.8658422467341519
ATG4A,0.8762006764932971
ATG7,0.8811876522638528
ATM,0.8058735267924355
ATOH8,0.861949270499837
ATP10A,0.8731294483128936
ATP10B,0.8741784788214059
ATP10D,0.8764218664786941
ATP11A,0.8690604660656307
ATP11A-AS1,0.8763561485600241
ATP11B,0.8671684729853174
ATP11C,0.8659525169049253
ATP12A,0.8745177357646036
ATP13A4,0.8702209019345554
ATP1A1,0.7938541069212066
ATP1A2,0.8805774358877985
ATP2B1,0.8361985450402432
ATP2B3,0.700383320321286
ATP2C1,0.8581973912316475
ATP5I,0.877727941361079
ATP5J,0.6432271165135234
ATP5J2,0.8701494428267753
ATP5O,0.8606083281686338
ATP6V0D2,0.8206441695002236
ATP6V1G2,0.876334532874421
ATP8A2,0.8782509138443912
ATP8B1,0.8806337617661113
ATP8B4,0.8507473701838749
ATP9B,0.8575652251238359
ATPIF1,0.8806196353755137
ATRNL1,0.8618213704942945
ATXN1,0.8615433036249805
